,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,155.82233929080763,17.909380221681204,0.34489840463084787,0.14459868442644094,initial state
1,211.56523163398396,151.65465372092513,0.5970310340070063,0.3138538385086992,F
2,172.64021670655472,106.00563446871547,0.47487310451148745,0.1895026273884622,F
3,170.3349970605924,104.73025503188182,0.4702088469108096,0.20301142996973337,F
4,209.77183553867516,154.51875612740196,0.7096407282085713,0.277688118391209,F
5,136.60650460053586,87.20464550464158,0.41428972522521706,0.1507579220704879,F
6,211.91341403067477,168.72445383228296,0.6078771147755851,0.3045195168571626,F
7,215.13010439861034,173.97325404431285,0.6728472236947052,0.3019999532456051,F
8,205.69568209481292,180.43944472168505,0.6484204768403965,0.28713904707844606,F
9,198.52782272437238,173.98469010203144,0.6112850902811738,0.28852577431707627,F
10,209.36565465660846,196.9126925365572,0.7144277679993939,0.318565201846555,F
11,245.3286856834321,241.05775961089648,0.9883879290377431,0.48917168161235397,DI
12,207.49522914428616,195.19975265723133,0.707013390918929,0.3166655939938661,DD
13,244.55765747688966,240.50650745891744,0.9874497194588009,0.505240107187787,DI
14,206.9738861251833,194.5708638405108,0.7049378645189738,0.3000801971675648,DD
15,244.93099180091374,240.80354947074056,0.988464877208058,0.5066504578067449,DI
16,206.9065359674488,194.04531236375533,0.7051929360143044,0.2999997579128395,DD
17,244.6268617805455,240.48154762112972,0.9886574240966469,0.5063685018426023,DI
18,206.83668773187935,193.90723589538084,0.7034342419612355,0.29992221262997626,DD
19,244.46031223391063,240.28640350877595,0.9881714614771205,0.5061572411927121,DI
20,206.65645876903247,193.4598666358056,0.7037570674518348,0.2999278000443126,DD
21,244.27626352121467,240.1320922641048,0.9873669602075601,0.5058855453849045,DI
22,206.71922471024126,193.20601171642693,0.7030892603199024,0.29991797566472683,DD
23,244.09356498495035,239.8535348405062,0.9862977481085943,0.5054500472176888,DI
24,206.6923079763682,193.52696316218498,0.7058326123306855,0.29987705059904673,DD
25,244.14197190310492,240.0563328365024,0.9888617051568394,0.5057754789340585,DI
26,207.1121319775667,193.6607484745423,0.7074976973471803,0.30046619906286215,DD
27,243.95471870377597,239.82148038754758,0.9885812755813519,0.48912480339994463,DI
28,206.61214901053873,193.5493700395341,0.7049604370914292,0.2999115399578186,DD
29,244.09965672703106,239.9571925261057,0.9882024924124954,0.5052737802714437,DI
