0.574842,-0.043544,0.201035,-0.998822,0.0391654,-0.0108828,-0.0264062,
0.57484,-0.0435441,0.201032,-0.998822,0.0391658,-0.0108812,-0.0264068,
0.574841,-0.043546,0.20103,-0.998822,0.0391651,-0.0108791,-0.0264062,
0.574838,-0.0435537,0.20103,-0.998822,0.0391736,-0.0108782,-0.0264064,
0.574842,-0.0435518,0.201033,-0.998822,0.0391737,-0.0108834,-0.0264075,
0.57484,-0.0435524,0.201026,-0.998822,0.0391706,-0.0108759,-0.0264086,
0.57484,-0.0435533,0.201022,-0.998822,0.039173,-0.0108734,-0.0264075,
0.574842,-0.0435469,0.201019,-0.998822,0.0391622,-0.0108726,-0.0264022,
0.574843,-0.0435403,0.201016,-0.998823,0.0391521,-0.0108708,-0.0263925,
0.574843,-0.0435248,0.20101,-0.998824,0.0391328,-0.0108644,-0.026378,
0.574843,-0.0435111,0.201007,-0.998825,0.0391207,-0.0108629,-0.0263576,
0.574846,-0.0434885,0.201004,-0.998827,0.0391101,-0.0108606,-0.0263258,
0.574847,-0.043454,0.201,-0.998828,0.0390907,-0.0108581,-0.0262856,
0.574847,-0.0434238,0.200992,-0.99883,0.0390806,-0.0108514,-0.0262355,
0.574851,-0.0433752,0.20099,-0.998832,0.039067,-0.0108505,-0.026173,
0.574854,-0.0433274,0.200989,-0.998835,0.039055,-0.0108499,-0.0261026,
0.574858,-0.0432741,0.200987,-0.998837,0.0390458,-0.010849,-0.0260233,
0.574858,-0.0432124,0.200983,-0.99884,0.0390423,-0.0108439,-0.025931,
0.574859,-0.0431434,0.200977,-0.998843,0.039036,-0.0108379,-0.0258263,
0.57486,-0.0430742,0.200972,-0.998846,0.0390345,-0.0108332,-0.0257133,
0.574862,-0.0430041,0.200967,-0.998849,0.0390261,-0.0108287,-0.0256016,
0.574864,-0.0429394,0.200966,-0.998852,0.0390313,-0.010827,-0.0254811,
0.574866,-0.0428661,0.20096,-0.998855,0.0390253,-0.0108213,-0.0253566,
0.574864,-0.0428015,0.200949,-0.998859,0.0390226,-0.0108109,-0.0252291,
0.574868,-0.0427341,0.200948,-0.998863,0.0390141,-0.0108094,-0.0250984,
0.574867,-0.0426646,0.200938,-0.998866,0.0390104,-0.0107994,-0.0249613,
0.574867,-0.0426026,0.200929,-0.99887,0.0390089,-0.0107897,-0.0248194,
0.574867,-0.0425345,0.200923,-0.998874,0.0389974,-0.0107818,-0.0246807,
0.574869,-0.0424738,0.200917,-0.998878,0.0389855,-0.0107753,-0.0245412,
0.574866,-0.04241,0.200906,-0.998882,0.0389656,-0.010761,-0.0244009,
0.574865,-0.0423462,0.200897,-0.998887,0.0389319,-0.010751,-0.0242645,
