,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,174.86930297110274,7.083712291660049,3.593153358049135,0.11223111648395896,initial state
1,251.5968732424757,42.36795261107318,0.8635925675481034,0.20849532234369186,F
2,250.85528831539193,56.576367191212285,1.0071492831081348,0.2275004089783497,F
3,315.6404711995711,91.68476564752837,4.033413549407106,0.33566247532395127,F
4,332.24221570037514,163.7571822419659,11.057219219337739,0.36116788373885095,F
5,281.75424527432773,118.60170487210553,9.635482148034631,0.26293063489672325,F
6,584.7023967038475,545.9647133918111,14.75819026606202,0.5316800208735453,F
7,601.5340630813171,571.591517561103,15.153609064617953,0.6284762412195551,DI
8,609.8886998776721,573.5959834183291,13.415635049728065,0.7915999612622832,DI
9,608.286589765043,575.1067184897352,13.37355879399392,0.8799323934529052,DI
