Format Version,1.22,Take Name,Take 2023-10-02 01.51.17 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,28 Dec 1969 23:29:55 +0200,Total Frames in Take,594,Total Exported Frames,594,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,right_hand,right_hand,right_hand,right_hand,right_hand,right_hand,right_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.061526,-0.103820,0.007606,-0.992662,2.356726,1.208395,2.629745,0.166569,-0.011901,-0.024791,-0.985646,2.801032,1.202255,2.579377
1,0.008333,0.061539,-0.103802,0.007543,-0.992664,2.356687,1.208406,2.629694,0.166776,-0.011815,-0.024711,-0.985614,2.800991,1.202237,2.579376
2,0.016667,0.061609,-0.103770,0.007456,-0.992663,2.356655,1.208412,2.629647,0.166960,-0.011741,-0.024579,-0.985587,2.800947,1.202212,2.579366
3,0.025000,0.061723,-0.103714,0.007405,-0.992662,2.356636,1.208414,2.629604,0.167250,-0.011662,-0.024424,-0.985543,2.800900,1.202179,2.579362
4,0.033333,0.061811,-0.103660,0.007373,-0.992663,2.356642,1.208411,2.629554,0.167492,-0.011572,-0.024275,-0.985507,2.800850,1.202144,2.579355
5,0.041667,0.061904,-0.103595,0.007406,-0.992664,2.356661,1.208401,2.629516,0.167641,-0.011476,-0.024192,-0.985484,2.800791,1.202109,2.579340
6,0.050000,,,,,,,,,,,,,,
7,0.058333,,,,,,,,,,,,,,
8,0.066667,0.062086,-0.103327,0.007876,-0.992677,2.356787,1.208322,2.629581,,,,,,,
9,0.075000,0.062017,-0.103278,0.008092,-0.992684,2.356861,1.208295,2.629565,,,,,,,
10,0.083333,0.061954,-0.103252,0.008301,-0.992689,2.356928,1.208262,2.629554,0.168656,-0.011620,-0.024278,-0.985307,2.800595,1.202082,2.579346
11,0.091667,0.061899,-0.103273,0.008440,-0.992689,2.356982,1.208224,2.629550,0.168377,-0.011385,-0.024575,-0.985350,2.800403,1.201993,2.579356
12,0.100000,0.061869,-0.103325,0.008522,-0.992685,2.357016,1.208178,2.629552,0.168209,-0.011178,-0.024833,-0.985375,2.800233,1.201921,2.579365
13,0.108333,0.061849,-0.103399,0.008595,-0.992678,2.357032,1.208128,2.629559,0.168092,-0.010941,-0.025070,-0.985392,2.800084,1.201858,2.579376
14,0.116667,0.061881,-0.103492,0.008624,-0.992666,2.357033,1.208069,2.629570,0.168092,-0.010634,-0.025280,-0.985390,2.799965,1.201802,2.579391
15,0.125000,0.061917,-0.103637,0.008650,-0.992648,2.357012,1.208005,2.629586,0.168192,-0.010419,-0.025466,-0.985370,2.799841,1.201747,2.579413
16,0.133333,0.061929,-0.103821,0.008670,-0.992628,2.356975,1.207939,2.629607,0.168286,-0.010208,-0.025581,-0.985353,2.799740,1.201698,2.579438
17,0.141667,0.061933,-0.104013,0.008669,-0.992608,2.356924,1.207872,2.629639,0.168351,-0.009937,-0.025608,-0.985344,2.799661,1.201657,2.579465
18,0.150000,0.061930,-0.104206,0.008653,-0.992588,2.356858,1.207809,2.629680,0.168401,-0.009715,-0.025559,-0.985339,2.799591,1.201617,2.579501
19,0.158333,0.061904,-0.104405,0.008617,-0.992569,2.356777,1.207749,2.629727,0.168469,-0.009514,-0.025517,-0.985331,2.799524,1.201577,2.579542
20,0.166667,0.061905,-0.104600,0.008555,-0.992549,2.356679,1.207698,2.629784,0.168594,-0.009429,-0.025540,-0.985310,2.799444,1.201533,2.579598
21,0.175000,0.061947,-0.104783,0.008417,-0.992528,2.356556,1.207649,2.629856,0.168756,-0.009308,-0.025649,-0.985280,2.799374,1.201482,2.579658
22,0.183333,0.062028,-0.104972,0.008212,-0.992505,2.356419,1.207608,2.629932,0.168899,-0.009225,-0.025827,-0.985252,2.799308,1.201431,2.579725
23,0.191667,0.062131,-0.105171,0.007998,-0.992479,2.356267,1.207573,2.630013,0.168920,-0.009147,-0.026021,-0.985244,2.799254,1.201386,2.579792
24,0.200000,0.062278,-0.105368,0.007783,-0.992451,2.356106,1.207543,2.630101,0.168870,-0.009165,-0.026098,-0.985250,2.799192,1.201347,2.579866
25,0.208333,0.062552,-0.105541,0.007525,-0.992417,2.355938,1.207515,2.630200,0.168956,-0.009229,-0.026160,-0.985233,2.799157,1.201301,2.579961
26,0.216667,0.062816,-0.105695,0.007320,-0.992386,2.355768,1.207492,2.630311,0.168935,-0.009259,-0.026025,-0.985240,2.799137,1.201265,2.580048
