Format Version,1.22,Take Name,Take 2023-08-14 03.50.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 18:31:34 +0200,Total Frames in Take,401,Total Exported Frames,401,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
63,0.525000,-0.117649,0.105127,0.032452,0.986942,2.290363,1.066571,2.803925
64,0.533333,-0.118481,0.106027,0.033066,0.986725,2.290268,1.066975,2.803119
65,0.541667,-0.118730,0.106854,0.033815,0.986581,2.290173,1.067464,2.802282
66,0.550000,-0.118351,0.107563,0.034633,0.986521,2.290069,1.068044,2.801426
67,0.558333,-0.117666,0.108406,0.035466,0.986481,2.289995,1.068729,2.800502
68,0.566667,-0.116730,0.109318,0.036186,0.986466,2.289946,1.069520,2.799513
69,0.575000,-0.115453,0.109968,0.036766,0.986522,2.289921,1.070407,2.798478
70,0.583333,-0.114062,0.110419,0.037114,0.986621,2.289928,1.071393,2.797360
71,0.591667,-0.112720,0.110757,0.037238,0.986732,2.289991,1.072473,2.796138
72,0.600000,-0.111428,0.110670,0.037056,0.986895,2.290091,1.073640,2.794809
73,0.608333,-0.110348,0.110299,0.036671,0.987073,2.290244,1.074886,2.793396
74,0.616667,-0.109465,0.109710,0.036087,0.987258,2.290430,1.076216,2.791865
75,0.625000,-0.108588,0.108966,0.035163,0.987471,2.290635,1.077626,2.790201
76,0.633333,-0.107744,0.108093,0.034137,0.987695,2.290879,1.079135,2.788436
77,0.641667,-0.107022,0.107354,0.033166,0.987887,2.291139,1.080736,2.786565
78,0.650000,-0.106303,0.106638,0.032196,0.988075,2.291384,1.082429,2.784589
79,0.658333,-0.105592,0.106005,0.031409,0.988244,2.291602,1.084239,2.782507
80,0.666667,-0.104597,0.105453,0.030734,0.988430,2.291788,1.086158,2.780317
81,0.675000,-0.103522,0.104910,0.030156,0.988619,2.291935,1.088176,2.778007
82,0.683333,-0.102312,0.104417,0.029542,0.988816,2.292051,1.090310,2.775585
83,0.691667,-0.100904,0.103964,0.028873,0.989028,2.292145,1.092544,2.773028
84,0.700000,-0.099446,0.103495,0.028279,0.989242,2.292223,1.094897,2.770340
85,0.708333,-0.098045,0.102990,0.027592,0.989454,2.292303,1.097373,2.767507
86,0.716667,-0.096757,0.102349,0.026833,0.989668,2.292391,1.099979,2.764523
87,0.725000,-0.095871,0.101645,0.026118,0.989846,2.292492,1.102738,2.761386
88,0.733333,-0.095103,0.100810,0.025331,0.990026,2.292611,1.105652,2.758091
89,0.741667,-0.094424,0.099943,0.024399,0.990202,2.292726,1.108740,2.754631
90,0.750000,-0.093866,0.099166,0.023378,0.990358,2.292834,1.112008,2.750996
91,0.758333,-0.093438,0.098453,0.022265,0.990495,2.292936,1.115488,2.747182
92,0.766667,-0.093151,0.097796,0.021164,0.990611,2.293039,1.119197,2.743189
93,0.775000,-0.092903,0.097190,0.019879,0.990721,2.293137,1.123131,2.739020
94,0.783333,-0.092734,0.096640,0.018393,0.990819,2.293241,1.127306,2.734664
95,0.791667,-0.092626,0.096042,0.016836,0.990915,2.293363,1.131738,2.730124
96,0.800000,-0.092512,0.095239,0.015075,0.991032,2.293509,1.136436,2.725404
97,0.808333,-0.092363,0.094117,0.013080,0.991181,2.293682,1.141421,2.720512
98,0.816667,-0.092100,0.092614,0.010733,0.991375,2.293887,1.146716,2.715441
99,0.825000,-0.091518,0.090817,0.008086,0.991621,2.294116,1.152340,2.710197
100,0.833333,-0.090741,0.088914,0.005198,0.991884,2.294349,1.158311,2.704789
101,0.841667,-0.089556,0.086956,0.002040,0.992177,2.294572,1.164674,2.699233
102,0.850000,-0.088068,0.085088,-0.001264,0.992473,2.294769,1.171425,2.693520
103,0.858333,-0.086131,0.083405,-0.004731,0.992775,2.294934,1.178607,2.687651
104,0.866667,-0.084120,0.081822,-0.008272,0.993056,2.295062,1.186234,2.681607
105,0.875000,-0.081688,0.080507,-0.011737,0.993332,2.295145,1.194318,2.675363
106,0.883333,-0.079367,0.079437,-0.015057,0.993561,2.295176,1.202849,2.668944
107,0.891667,-0.077263,0.078718,-0.018172,0.993732,2.295141,1.211859,2.662350
108,0.900000,-0.075556,0.078435,-0.021144,0.993827,2.295026,1.221343,2.655586
109,0.908333,-0.074157,0.078516,-0.024134,0.993858,2.294840,1.231293,2.648708
110,0.916667,-0.072996,0.078856,-0.027115,0.993840,2.294628,1.241730,2.641742
111,0.925000,-0.072001,0.079352,-0.030356,0.993779,2.294432,1.252656,2.634699
112,0.933333,-0.071491,0.079772,-0.034291,0.993655,2.294283,1.264048,2.627653
113,0.941667,-0.071261,0.080085,-0.038984,0.993473,2.294218,1.275925,2.620664
114,0.950000,-0.071033,0.080369,-0.044457,0.993236,2.294280,1.288275,2.613785
115,0.958333,-0.070312,0.080206,-0.051055,0.992984,2.294482,1.301148,2.607058
116,0.966667,-0.069225,0.079830,-0.058349,0.992689,2.294829,1.314562,2.600546
117,0.975000,-0.067268,0.079132,-0.066162,0.992389,2.295298,1.328541,2.594285
118,0.983333,-0.063936,0.078257,-0.073727,0.992145,2.295862,1.343105,2.588313
119,0.991667,-0.059439,0.077482,-0.080780,0.991937,2.296492,1.358299,2.582675
120,1.000000,-0.053574,0.077046,-0.086857,0.991791,2.297159,1.374147,2.577374
121,1.008333,-0.046554,0.077063,-0.091639,0.991714,2.297840,1.390668,2.572431
122,1.016667,-0.038367,0.077552,-0.095143,0.991696,2.298514,1.407852,2.567868
123,1.025000,-0.029610,0.078488,-0.096924,0.991750,2.299147,1.425638,2.563722
124,1.033333,-0.020028,0.079952,-0.096900,0.991875,2.299726,1.443990,2.560031
125,1.041667,-0.009764,0.081715,-0.094835,0.992086,2.300270,1.462805,2.556837
126,1.050000,0.001132,0.083607,-0.090825,0.992351,2.300781,1.482023,2.554175
127,1.058333,0.012395,0.085719,-0.085504,0.992566,2.301257,1.501565,2.552070
128,1.066667,0.023841,0.087848,-0.078936,0.992715,2.301689,1.521345,2.550562
129,1.075000,0.035571,0.089840,-0.071205,0.992771,2.302086,1.541307,2.549640
130,1.083333,0.047680,0.091741,-0.062856,0.992653,2.302467,1.561375,2.549275
131,1.091667,0.059949,0.093517,-0.053933,0.992347,2.302809,1.581490,2.549504
132,1.100000,0.072085,0.095137,-0.044660,0.991846,2.303137,1.601583,2.550326
133,1.108333,0.084383,0.096681,-0.035206,0.991107,2.303443,1.621611,2.551757
134,1.116667,0.097252,0.097907,-0.025554,0.990103,2.303690,1.641523,2.553819
135,1.125000,0.110874,0.098703,-0.015752,0.988796,2.303898,1.661254,2.556514
136,1.133333,0.124932,0.099441,-0.006199,0.987150,2.304076,1.680699,2.559794
137,1.141667,0.139427,0.100014,0.003120,0.985164,2.304246,1.699810,2.563646
138,1.150000,0.154423,0.100142,0.012113,0.982842,2.304424,1.718557,2.568052
139,1.158333,0.169969,0.099655,0.020703,0.980179,2.304597,1.736880,2.572983
140,1.166667,0.185682,0.098993,0.028598,0.977192,2.304810,1.754718,2.578383
141,1.175000,0.201589,0.098184,0.035772,0.973880,2.305050,1.772063,2.584242
142,1.183333,0.217550,0.097069,0.042172,0.970294,2.305292,1.788908,2.590540
143,1.191667,0.233283,0.095671,0.047803,0.966510,2.305541,1.805242,2.597212
144,1.200000,0.248990,0.094066,0.053014,0.962468,2.305771,1.821062,2.604276
145,1.208333,0.264610,0.092316,0.058128,0.958165,2.305976,1.836365,2.611709
146,1.216667,0.280025,0.090410,0.063170,0.953636,2.306136,1.851113,2.619467
147,1.225000,0.295324,0.088454,0.068324,0.948837,2.306245,1.865304,2.627526
148,1.233333,0.310884,0.086427,0.073637,0.943642,2.306285,1.878902,2.635875
149,1.241667,0.326803,0.084261,0.078832,0.938022,2.306270,1.891898,2.644462
150,1.250000,0.343004,0.082030,0.083682,0.931996,2.306229,1.904272,2.653232
151,1.258333,0.359508,0.079741,0.087863,0.925568,2.306159,1.916022,2.662158
152,1.266667,0.376195,0.077371,0.091388,0.918770,2.306063,1.927168,2.671204
153,1.275000,0.392926,0.074881,0.094572,0.911624,2.305933,1.937715,2.680334
154,1.283333,0.409372,0.072176,0.097591,0.904257,2.305756,1.947685,2.689534
155,1.291667,0.425744,0.069497,0.100260,0.896583,2.305516,1.957090,2.698785
156,1.300000,0.441984,0.066886,0.102906,0.888587,2.305191,1.965958,2.708082
157,1.308333,0.458108,0.064380,0.105424,0.880272,2.304785,1.974291,2.717391
158,1.316667,0.474161,0.062025,0.107674,0.871625,2.304306,1.982091,2.726654
159,1.325000,0.490201,0.059915,0.109691,0.862601,2.303751,1.989377,2.735851
160,1.333333,0.506424,0.057907,0.111791,0.853044,2.303127,1.996168,2.744987
161,1.341667,0.522688,0.055979,0.113926,0.843021,2.302450,2.002450,2.754021
162,1.350000,0.539103,0.054211,0.115751,0.832485,2.301753,2.008227,2.762927
163,1.358333,0.555711,0.052609,0.117178,0.821394,2.301079,2.013531,2.771689
164,1.366667,0.572140,0.050784,0.118332,0.809984,2.300441,2.018368,2.780283
165,1.375000,0.588048,0.048537,0.119382,0.798494,2.299851,2.022776,2.788732
166,1.383333,0.603808,0.046018,0.120215,0.786668,2.299307,2.026803,2.797028
167,1.391667,0.619050,0.043326,0.120576,0.774830,2.298806,2.030447,2.805109
168,1.400000,0.633538,0.040344,0.120853,0.763149,2.298337,2.033762,2.813000
169,1.408333,0.647479,0.037259,0.121223,0.751457,2.297888,2.036787,2.820717
170,1.416667,0.660855,0.034273,0.121700,0.739787,2.297441,2.039522,2.828267
171,1.425000,0.673755,0.031306,0.122214,0.728106,2.296989,2.041978,2.835666
172,1.433333,0.686336,0.028162,0.122618,0.716320,2.296550,2.044141,2.842933
173,1.441667,0.698894,0.024613,0.122904,0.704157,2.296109,2.045966,2.850103
174,1.450000,0.711747,0.020548,0.123018,0.691274,2.295663,2.047406,2.857206
175,1.458333,0.725187,0.016235,0.122877,0.677305,2.295220,2.048437,2.864261
176,1.466667,0.739221,0.012061,0.122082,0.662195,2.294797,2.049035,2.871261
177,1.475000,0.753719,0.008360,0.120282,0.646042,2.294420,2.049196,2.878191
178,1.483333,0.768541,0.005414,0.117392,0.628915,2.294090,2.048943,2.885041
179,1.491667,0.783377,0.003030,0.113709,0.611049,2.293791,2.048298,2.891815
180,1.500000,0.798037,0.000952,0.109541,0.592568,2.293496,2.047278,2.898501
181,1.508333,0.812363,-0.001124,0.105242,0.573576,2.293170,2.045907,2.905085
182,1.516667,0.826063,-0.003371,0.101101,0.554426,2.292792,2.044210,2.911541
183,1.525000,0.838973,-0.005907,0.097406,0.535351,2.292330,2.042205,2.917849
184,1.533333,0.851105,-0.008996,0.094412,0.516358,2.291752,2.039878,2.924004
185,1.541667,0.862616,-0.012528,0.092142,0.497240,2.291051,2.037240,2.929958
186,1.550000,0.873604,-0.016223,0.090662,0.477843,2.290233,2.034306,2.935676
187,1.558333,0.884081,-0.019925,0.089854,0.458180,2.289311,2.031070,2.941125
188,1.566667,0.894109,-0.023374,0.089220,0.438250,2.288315,2.027553,2.946291
189,1.575000,0.903741,-0.026567,0.088226,0.418047,2.287270,2.023793,2.951151
190,1.583333,0.912966,-0.029590,0.086749,0.397609,2.286201,2.019834,2.955675
191,1.591667,0.921680,-0.032574,0.084958,0.377131,2.285103,2.015724,2.959887
192,1.600000,0.929720,-0.035838,0.082758,0.357055,2.283952,2.011473,2.963750
193,1.608333,0.937095,-0.039508,0.080309,0.337407,2.282754,2.007069,2.967231
194,1.616667,0.943819,-0.043431,0.077703,0.318249,2.281528,2.002526,2.970334
195,1.625000,0.949987,-0.047300,0.074859,0.299472,2.280242,1.997857,2.973084
196,1.633333,0.955521,-0.051517,0.071591,0.281427,2.278872,1.993067,2.975493
197,1.641667,0.960443,-0.056280,0.067863,0.264152,2.277482,1.988182,2.977556
198,1.650000,0.964724,-0.061544,0.063781,0.247893,2.276112,1.983245,2.979291
199,1.658333,0.968300,-0.066735,0.059542,0.233230,2.274787,1.978322,2.980735
200,1.666667,0.971317,-0.071201,0.055417,0.220005,2.273525,1.973444,2.981915
201,1.675000,0.973875,-0.075336,0.051422,0.207961,2.272296,1.968561,2.982818
202,1.683333,0.976094,-0.079488,0.047866,0.196546,2.271083,1.963643,2.983428
203,1.691667,0.977982,-0.083712,0.044934,0.185810,2.269893,1.958684,2.983783
