Format Version,1.22,Take Name,Take 2023-08-14 03.16.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 17:57:55 +0200,Total Frames in Take,301,Total Exported Frames,301,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
63,0.525000,-0.119815,0.108771,0.021066,0.986595,2.089091,1.074567,2.921124
64,0.533333,-0.121165,0.108755,0.020933,0.986435,2.089094,1.073830,2.921474
65,0.541667,-0.122649,0.108945,0.020881,0.986231,2.089081,1.073071,2.921770
66,0.550000,-0.124310,0.109523,0.021134,0.985954,2.089019,1.072294,2.921982
67,0.558333,-0.125994,0.110608,0.021960,0.985601,2.088889,1.071504,2.922051
68,0.566667,-0.128058,0.112313,0.023425,0.985108,2.088680,1.070714,2.921951
69,0.575000,-0.130562,0.114419,0.025553,0.984484,2.088407,1.069927,2.921662
70,0.583333,-0.133513,0.116791,0.028391,0.983732,2.088097,1.069154,2.921153
71,0.591667,-0.136656,0.119186,0.031692,0.982912,2.087791,1.068393,2.920311
72,0.600000,-0.140021,0.121760,0.035010,0.982010,2.087465,1.067639,2.919083
73,0.608333,-0.143449,0.123989,0.038166,0.981118,2.087161,1.066907,2.917382
74,0.616667,-0.146957,0.125884,0.040666,0.980257,2.086933,1.066214,2.915155
75,0.625000,-0.150841,0.127174,0.042099,0.979439,2.086804,1.065595,2.912404
76,0.633333,-0.154819,0.127592,0.042682,0.978739,2.086764,1.065085,2.909001
77,0.641667,-0.159229,0.127560,0.042649,0.978037,2.086782,1.064759,2.904844
78,0.650000,-0.164316,0.127203,0.042327,0.977255,2.086794,1.064698,2.899889
79,0.658333,-0.170392,0.127019,0.041869,0.976258,2.086745,1.064974,2.894068
80,0.666667,-0.177457,0.127151,0.041434,0.975000,2.086601,1.065683,2.887268
81,0.675000,-0.185530,0.127832,0.040905,0.973429,2.086340,1.066902,2.879427
82,0.683333,-0.194769,0.129157,0.040135,0.971480,2.085969,1.068698,2.870507
83,0.691667,-0.204544,0.130959,0.038294,0.969301,2.085511,1.071196,2.860486
84,0.700000,-0.214421,0.133168,0.035085,0.966984,2.084976,1.074520,2.849421
