,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,95.33843040912896,7.90445488576097,0.15117088632950187,0.15037276246538045,initial state
1,145.4582802210778,12.941284852843182,0.27120668317831625,0.19617806120998663,DI
2,133.13446366680577,62.90452034534155,0.22247909791676584,0.2184872928251994,DI
3,162.08510007174937,27.59289760831507,0.33807134416794465,0.2886616651763919,DI
4,139.8974181253717,28.12411279535354,0.3343705438277163,0.2603087501609651,DI
5,157.55108467288895,51.9651894583717,0.3628387129062524,0.3548169853126672,DI
6,184.8865113635157,64.38683216686059,0.4996548038264534,0.3751866667946749,DI
7,165.6444142196274,91.00202618270714,0.3825717459919871,0.5209935877693441,DI
8,154.2937201571704,86.60260663106101,0.41427151835127796,0.5625835640855872,DI
9,135.6157481086484,93.36717070425493,0.3969536189815545,0.6306091045707309,DI
10,135.76090231708832,99.72317060515934,0.398397703360086,0.7150069767153915,DI
11,122.59545392709005,55.5683207235802,0.33518462896944584,0.6977930480224244,DD
12,125.19512704727727,89.38062801405522,0.3076876533328634,0.6707184414989694,DI
13,139.68590209856285,71.07766972779928,0.4211397164704798,0.6299149443888903,DD
14,119.61934120648691,69.99850213077252,0.3758010746091214,0.663185591909271,DI
15,140.39094863534316,72.5663056809367,0.5101205326769876,0.5238173402442234,DD
16,140.28655705487833,103.60232168352468,0.4415091610867454,0.5917411654791281,DI
17,120.33874244082162,61.424673837393584,0.3493805553081836,0.5765865246831747,DD
18,118.63701006149064,79.16178662924267,0.33680107999727427,0.6603295433844031,DI
19,120.32997760456973,61.556721146871496,0.3491771589630515,0.5771028434673938,DD
20,117.46497656361063,71.2306409542407,0.30809213506636707,0.6537646027416989,DI
