,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,181.88456905249834,26.24979517435122,0.40256614325881046,0.16153423971523212,initial state
1,252.6178062788632,79.88318154701801,0.9679251819958173,0.31960068030852334,F
2,256.437116580343,194.8211953356349,1.2303872085673742,0.3231844418312926,F
3,259.15771688033806,94.34896659456626,0.7310415207991591,0.3660931982826637,F
4,336.50774388348736,310.0905191612924,9.808457205730358,0.43026830445769293,F
5,345.90568907248087,325.9435828061896,12.66313412153977,0.4816167587975079,DI
6,331.66223898774695,315.9386045800261,12.598649117323024,0.5827530761326193,DI
7,333.4905747377094,317.37144134922346,12.735954883362506,0.6319049424108255,DI
8,329.44355840413664,313.1399550059655,12.869455282133268,0.720205887110354,DI
9,308.49088211311954,294.1776146630559,12.524345002378078,0.8814482215087946,DI
