,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,78.37857421861867,1.534150216002672,0.08928263333161597,0.13822140745974626,initial state
1,71.90698068598043,0.8541323475697027,0.061253107601273844,0.14676489474158527,DI
2,70.32090564933986,5.538035117353957,0.08209649465115486,0.1376487674331012,DI
3,90.8338903366257,14.556747856317998,0.22225666361179566,0.1642578515617203,DI
4,65.24539776421561,23.139822430948698,0.11986418304873094,0.18377530274764048,DI
5,73.92499717070666,31.400263106604598,0.31955060840842153,0.1885133623703489,DI
6,68.83035303559377,33.961087191300976,0.3252942648557922,0.260157033021836,DI
7,66.91438189506039,37.233681200063984,0.34283570612129055,0.24740451029897328,DI
8,67.4640565659957,38.75072503831234,0.2915373547789985,0.28675584772242624,DI
9,55.571207414857255,30.237343275416606,0.21154216309907764,0.3406093841344375,DI
10,52.46332494209591,27.188548689025538,0.20519786914490556,0.41752313807535635,DI
11,54.48405827223691,24.691426490903723,0.1991486219908292,0.4014684248045831,DD
12,50.673195818546844,22.093896432977544,0.18865229865818212,0.37457927788280404,DI
13,55.19863718035396,24.209839861839555,0.1890974513153449,0.38618888471066537,DD
14,51.5363355197,22.285471750365105,0.12913711382973111,0.3784622138992908,DI
15,55.410612579578235,23.771797085316848,0.12910796482867826,0.3879952475055143,DD
16,50.20967681900851,20.785923110224758,0.12932242061674373,0.35723230732575795,DI
17,56.21423187221799,24.10002404417355,0.1409111673693327,0.40826383778186826,DD
18,50.33868602367915,20.326836449839902,0.1267547248112726,0.3803632841191782,DI
19,53.972970855511186,22.11440156855815,0.14476465683163542,0.38643716375046594,DD
20,53.0198169909115,23.179152970271844,0.13932544062159544,0.39516610949664516,DI
