Format Version,1.22,Take Name,Take 2023-09-15 05.16.50 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,12 Dec 1969 02:55:29 +0200,Total Frames in Take,901,Total Exported Frames,901,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,right_hand,right_hand,right_hand,right_hand,right_hand,right_hand,right_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E","5D11C736377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.116597,-0.095253,0.014685,-0.988492,2.448491,1.190212,2.938912,0.194919,-0.001706,0.013916,-0.980719,2.958960,1.147516,2.893441
1,0.008333,0.115893,-0.096100,0.015523,-0.988480,2.447524,1.190440,2.938875,0.194802,-0.000561,0.013779,-0.980746,2.960016,1.147461,2.893526
2,0.016667,0.115848,-0.096807,0.016003,-0.988409,2.446538,1.190625,2.938865,0.194523,0.000599,0.013477,-0.980805,2.961101,1.147428,2.893618
3,0.025000,0.115944,-0.097502,0.016628,-0.988319,2.445556,1.190805,2.938862,0.194312,0.001693,0.012940,-0.980853,2.962202,1.147437,2.893717
4,0.033333,0.115447,-0.098311,0.017385,-0.988284,2.444539,1.191000,2.938830,0.194184,0.002614,0.012071,-0.980887,2.963304,1.147513,2.893793
5,0.041667,0.115063,-0.099017,0.018192,-0.988243,2.443513,1.191163,2.938830,0.194023,0.003517,0.011166,-0.980927,2.964357,1.147590,2.893897
6,0.050000,0.114830,-0.099560,0.019030,-0.988200,2.442510,1.191297,2.938847,0.193253,0.004428,0.009886,-0.981089,2.965440,1.147733,2.893958
7,0.058333,0.114601,-0.100041,0.020016,-0.988159,2.441531,1.191414,2.938875,0.192819,0.005156,0.008458,-0.981184,2.966506,1.147914,2.893993
8,0.066667,0.114885,-0.100487,0.020876,-0.988063,2.440576,1.191473,2.938941,0.192365,0.005926,0.006993,-0.981281,2.967557,1.148101,2.894000
9,0.075000,0.114562,-0.101024,0.021969,-0.988022,2.439604,1.191547,2.938979,0.191731,0.006769,0.005602,-0.981408,2.968575,1.148308,2.894019
10,0.083333,0.114750,-0.101524,0.022897,-0.987928,2.438655,1.191584,2.939053,0.191714,0.007380,0.004107,-0.981414,2.969622,1.148513,2.894072
11,0.091667,0.114775,-0.102034,0.023848,-0.987850,2.437692,1.191610,2.939123,0.191560,0.008093,0.003244,-0.981442,2.970664,1.148771,2.894092
12,0.100000,0.114345,-0.102624,0.024831,-0.987814,2.436693,1.191646,2.939165,0.191308,0.008957,0.002804,-0.981485,2.971688,1.149018,2.894108
