Format Version,1.22,Take Name,Take 2023-07-13 11.16.48 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 07:01:01 +0200,Total Frames in Take,1355,Total Exported Frames,1355,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,"11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
63,0.525000,0.014006,-0.068875,0.006866,-0.997503,1.685114,0.609294,0.598707
64,0.533333,0.014009,-0.068861,0.006867,-0.997504,1.685110,0.609291,0.598707
65,0.541667,0.013934,-0.068876,0.006885,-0.997504,1.685107,0.609290,0.598712
66,0.550000,0.013916,-0.068857,0.006892,-0.997506,1.685106,0.609292,0.598715
67,0.558333,0.013950,-0.068885,0.006907,-0.997503,1.685107,0.609293,0.598714
68,0.566667,0.013965,-0.068860,0.006892,-0.997505,1.685105,0.609289,0.598712
69,0.575000,0.013937,-0.068844,0.006856,-0.997507,1.685102,0.609287,0.598706
70,0.583333,0.013888,-0.068841,0.006878,-0.997507,1.685097,0.609287,0.598708
71,0.591667,0.013886,-0.068827,0.006879,-0.997508,1.685100,0.609284,0.598706
72,0.600000,0.014210,-0.068999,0.006605,-0.997494,1.685156,0.609325,0.598723
73,0.608333,0.014109,-0.068951,0.006661,-0.997498,1.685141,0.609316,0.598715
74,0.616667,0.014012,-0.068909,0.006705,-0.997502,1.685134,0.609308,0.598709
75,0.625000,0.013975,-0.068869,0.006761,-0.997505,1.685128,0.609302,0.598710
76,0.633333,0.014248,-0.068979,0.006514,-0.997495,1.685169,0.609331,0.598724
77,0.641667,0.014118,-0.068961,0.006593,-0.997498,1.685150,0.609322,0.598719
78,0.650000,0.014079,-0.068918,0.006690,-0.997501,1.685139,0.609315,0.598717
79,0.658333,0.014020,-0.068860,0.006729,-0.997505,1.685126,0.609306,0.598715
80,0.666667,0.013965,-0.068850,0.006737,-0.997507,1.685120,0.609298,0.598707
81,0.675000,0.013999,-0.068872,0.006823,-0.997504,1.685109,0.609296,0.598706
82,0.683333,0.014335,-0.068988,0.006601,-0.997493,1.685158,0.609328,0.598720
83,0.691667,0.014211,-0.068940,0.006698,-0.997497,1.685152,0.609317,0.598717
84,0.700000,0.014135,-0.068927,0.006797,-0.997498,1.685137,0.609305,0.598715
85,0.708333,0.014364,-0.069018,0.006560,-0.997491,1.685178,0.609334,0.598726
86,0.716667,0.014198,-0.068956,0.006619,-0.997497,1.685159,0.609324,0.598725
87,0.725000,0.014087,-0.068918,0.006715,-0.997500,1.685138,0.609313,0.598720
